ID,Nombre,Dirección,Descripción,Puntuación,Usuarios que puntuaron,Ciudad,Departamento,Teléfono,Sitio Web,Búsqueda,Categoría
a42e6fb6-ed80-4632-bed3-a37e28c8f5a9,Lácteos Los Ángeles,310 5754824,Quesería,"4,3",(48),Bogotá,Bogotá,310 5754824,N/A,"Lacteos, Bogotá, Bogotá",Lácteos
aab62ef3-7403-45c9-9564-52067494cd1a,Lacteos Santa Mónica,Tienda de alimentos naturales,N/A,"4,7",(245),Bogotá,Bogotá,316 4655964,N/A,"Lacteos, Bogotá, Bogotá",Otros
ff696d12-a38e-42d5-b280-cdc5f61a7929,Lacteos El Establo,14303065,Quesería,"4,1",(43),Bogotá,Bogotá,14303065,N/A,"Lacteos, Bogotá, Bogotá",Otros
a28f9e02-5b97-4a00-8a1c-b0545db4fdda,Punto Lacteo Quesos y Amasijos,(601) 3157993,Panadería,"4,3",(61),Bogotá,Bogotá,(601) 3157993,N/A,"Lacteos, Bogotá, Bogotá",Otros
14176dbf-7174-4d4f-affe-d59d367155f2,MYM Lácteos y Cárnicos SAS,315 5718548,Proveedor de lácteos,"5,0",(13),Bogotá,Bogotá,315 5718548,N/A,"Lacteos, Bogotá, Bogotá",Lácteos
c7bd2ace-9463-47bc-bc63-98cabab86ac0,Lácteos Superior-Fasulac,12374705,Mercado de alimentos frescos,"4,5",(121),Bogotá,Bogotá,12374705,N/A,"Lacteos, Bogotá, Bogotá",Lácteos
c752b075-63aa-48fe-a74e-cd831a174f08,Lacteos el Mayorista,Cerrado ⋅ Abre a las 9 a. m. del mié,N/A,"4,3",(38),Bogotá,Bogotá,N/A,N/A,"Lacteos, Bogotá, Bogotá",Otros
c6a6ffef-cf8d-47f7-9ec9-7941b9225fdd,DISTRIBUIDORA VILLA LACTEOS,12030449,Quesería,"4,5",(4),Bogotá,Bogotá,12030449,N/A,"Lacteos, Bogotá, Bogotá",Otros
1f06fc24-3041-4316-bbc4-aa2d0138b72a,Lacteos San Lorenzo,16774318,Quesería,"4,2",(5),Usaquén,Bogotá,16774318,N/A,"Lacteos, Bogotá, Usaquén",Otros
3f0d9f0c-7d80-49f4-b0cd-65a142dfd520,Comercializadora Quesos del Norte T&D,14635357,Quesería,"4,1",(14),Usaquén,Bogotá,14635357,N/A,"Lacteos, Bogotá, Usaquén",Otros
905c8bd5-6baf-4dfe-9497-6bd0edb413da,Distribuidora de Quesos Puerto Rico,16785115,Quesería,"4,2",(45),Usaquén,Bogotá,16785115,N/A,"Lacteos, Bogotá, Usaquén",Otros
5aeeba70-43f5-47ef-88eb-1d1ebce85abf,Distripollos Y Lácteos,(601) 6784691,Comercio,"4,5",(2),Usaquén,Bogotá,(601) 6784691,N/A,"Lacteos, Bogotá, Usaquén",Lácteos
d11bb5e3-697b-4a29-97b5-e07b83e7c115,El Porvenir Lacteos y Salsamentaria,16700339,Quesería,"4,8",(5),Usaquén,Bogotá,16700339,N/A,"Lacteos, Bogotá, Usaquén",Otros
4ca17d26-26a9-40e2-bd9a-c1cff20456a8,Lacteos Andrea,Abierto ⋅ Cierra a las 9 p. m.,N/A,"4,0",(1),Usaquén,Bogotá,N/A,N/A,"Lacteos, Bogotá, Usaquén",Otros
